date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:46	2381/2381	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2005:59:46%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F%25e5%259f%25ba%25e5%259c%25b0%25e7%25ae%2580%25e4%25bb%258b%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embed3d7a.json	(from http://localhost/wp/%e5%9f%ba%e5%9c%b0%e7%ae%80%e4%bb%8b/)
13:59:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202017%2005:59:46%20GMT	http://localhost/wp/?p=8	C:/My%20Web%20Sites/deploy/localhost/wp/index2df4.html	(from http://localhost/wp/%e5%9f%ba%e5%9c%b0%e7%ae%80%e4%bb%8b/)
13:59:47	2537/2537	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2005:59:46%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F%25e5%259f%25ba%25e5%259c%25b0%25e7%25ae%2580%25e4%25bb%258b%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embedadb0	(from http://localhost/wp/%e5%9f%ba%e5%9c%b0%e7%ae%80%e4%bb%8b/)
13:59:47	2381/2381	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2005:59:47%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F%25e4%25ba%25a7%25e5%2593%2581%25e5%25b1%2595%25e7%25a4%25ba%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embedd3f0.json	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202017%2005:59:47%20GMT	http://localhost/wp/?p=33	C:/My%20Web%20Sites/deploy/localhost/wp/indexdd23.html	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:48	2537/2537	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2005:59:47%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F%25e4%25ba%25a7%25e5%2593%2581%25e5%25b1%2595%25e7%25a4%25ba%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embed80d2	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:48	9416/9416	---M--	200	added ('OK')	image/jpeg	etag:%2224c8-55ec8079848dd%22	http://localhost/wp/wp-content/uploads/2017/11/land-150x150.jpg	C:/My%20Web%20Sites/deploy/localhost/wp/wp-content/uploads/2017/11/land-150x150.jpg	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:48	7391/7391	---M--	200	added ('OK')	image/jpeg	etag:%221cdf-55ec8076b6fbd%22	http://localhost/wp/wp-content/uploads/2017/11/daermao-150x150.jpg	C:/My%20Web%20Sites/deploy/localhost/wp/wp-content/uploads/2017/11/daermao-150x150.jpg	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:48	8147/8147	---M--	200	added ('OK')	image/jpeg	etag:%221fd3-55ec807a481f3%22	http://localhost/wp/wp-content/uploads/2017/11/sead-150x150.jpg	C:/My%20Web%20Sites/deploy/localhost/wp/wp-content/uploads/2017/11/sead-150x150.jpg	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:48	5194/5194	---M--	200	added ('OK')	image/jpeg	etag:%22144a-55ec807b16ebb%22	http://localhost/wp/wp-content/uploads/2017/11/sead2-150x150.jpg	C:/My%20Web%20Sites/deploy/localhost/wp/wp-content/uploads/2017/11/sead2-150x150.jpg	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
